dbn,school_name,beds,location_name,ncessch,combokey
01M015,P.S. 015 Roberto Clemente,310100010015,P.S. 015 Roberto Clemente,360007602087,362058002087
01M019,P.S. 019 Asher Levy,310100010019,P.S. 019 Asher Levy,360007602101,362058002101
01M020,P.S. 020 Anna Silver,310100010020,P.S. 020 Anna Silver,360007602104,362058002104
01M034,P.S. 034 Franklin D. Roosevelt,310100010034,P.S. 034 Franklin D. Roosevelt,360007602157,362058002157
01M063,The STAR Academy - P.S.63,310100010063,The STAR Academy - P.S.63,360007602270,362058002270
01M064,P.S. 064 Robert Simon,310100010064,P.S. 064 Robert Simon,360007604868,362058004868
01M110,P.S. 110 Florence Nightingale,310100010110,P.S. 110 Florence Nightingale,360007602411,362058002411
01M134,P.S. 134 Henrietta Szold,310100010134,P.S. 134 Henrietta Szold,360007602492,362058002492
01M137,P.S. 137 John L. Bernstein,310100010137,P.S. 137 John L. Bernstein,360007602502,362058002502
01M140,P.S. 140 Nathan Straus,310100010140,P.S. 140 Nathan Straus,360007602511,362058002511
01M142,P.S. 142 Amalia Castro,310100010142,P.S. 142 Amalia Castro,360007602515,362058002515
01M184,P.S. 184m Shuang Wen,310100010184,P.S. 184m Shuang Wen,360007603508,362058003508
01M188,P.S. 188 The Island School,310100010188,P.S. 188 The Island School,360007604869,362058004869
01M292,Henry Street School for International Studies,310100011292,Henry Street School for International Studies,360007605614,362058005614
01M301,"Technology, Arts, and Sciences Studio",310100010301,"Technology, Arts, and Sciences Studio",360007605763,362058005763
01M315,The East Village Community School,310100010315,The East Village Community School,360007605615,362058005615
01M332,University Neighborhood Middle School,310100010332,University Neighborhood Middle School,360007605616,362058005616
01M345,"Collaborative Academy of Science, Technology, & Language-Arts Education",310100010345,"Collaborative Academy of Science, Technology, & La",360007605863,362058005863
01M361,The Children's Workshop School,310100010361,The Children's Workshop School,360007605617,362058005617
01M363,Neighborhood School,310100010363,Neighborhood School,360007605618,362058005618
01M364,Earth School,310100010364,Earth School,360007605619,362058005619
01M378,School for Global Leaders,310100010378,School for Global Leaders,360007606021,362058006021
01M448,University Neighborhood High School,310100011448,University Neighborhood High School,360007603680,362058003680
01M450,East Side Community School,310100011450,East Side Community School,360007600695,362058000695
01M458,Forsyth Satellite Academy,310100011458,Forsyth Satellite Academy,360007606296,362058099968
01M509,Marta Valle High School,310100011509,Marta Valle High School,360007601275,362058001275
01M515,Lower East Side Preparatory High School,310100011515,Lower East Side Preparatory High School,360007600624,362058000624
01M539,"New Explorations into Science, Technology and Math High School",310100011539,"New Explorations into Science, Technology and Math",360007604873,362058004873
01M650,Cascades High School,310100011650,Cascades High School,360007603352,362058003352
01M696,Bard High School Early College,310100011696,Bard High School Early College,360007605621,362058005621
01M839,Tompkins Square Middle School,310100010839,Tompkins Square Middle School,360007605620,362058005620
02M001,P.S. 001 Alfred E. Smith,310200010001,P.S. 001 Alfred E. Smith,360007702042,362058002042
02M002,P.S. 002 Meyer London,310200010002,P.S. 002 Meyer London,360007702047,362058002047
02M003,P.S. 003 Charrette School,310200010003,P.S. 003 Charrette School,360007702049,362058002049
02M006,P.S. 006 Lillie D. Blake,310200010006,P.S. 006 Lillie D. Blake,360007702058,362058002058
02M011,P.S. 011 William T. Harris,310200010011,P.S. 011 William T. Harris,360007702076,362058002076
02M033,P.S. 033 Chelsea Prep,310200010033,P.S. 033 Chelsea Prep,360007702152,362058002152
02M040,P.S. 040 Augustus Saint-Gaudens,310200010040,P.S. 040 Augustus Saint-Gaudens,360007702177,362058002177
02M041,P.S. 041 Greenwich Village,310200010041,P.S. 041 Greenwich Village,360007702184,362058002184
02M042,P.S. 042 Benjamin Altman,310200010042,P.S. 042 Benjamin Altman,360007702187,362058002187
02M047,47 The American Sign Language and English Secondary School,310200010047,47 The American Sign Language and English Secondar,360007704454,362058004454
02M051,P.S. 051 Elias Howe,310200010051,P.S. 051 Elias Howe,360007702225,362058002225
02M059,P.S. 059 Beekman Hill International,310200010059,P.S. 059 Beekman Hill International,360007702253,362058002253
02M077,P.S. 77 Lower Lab School,310200010077,P.S. 77 Lower Lab School,360007703548,362058003548
02M089,P.S. 89,310200010089,P.S. 89,360007703328,362058003328
02M104,J.H.S. 104 Simon Baruch,310200010104,J.H.S. 104 Simon Baruch,360007704447,362058004447
02M111,P.S. 111 Adolph S. Ochs,310200010111,P.S. 111 Adolph S. Ochs,360007702414,362058002414
02M114,East Side Middle School,310200010114,East Side Middle School,360007704405,362058004405
02M116,P.S. 116 Mary Lindley Murray,310200010116,P.S. 116 Mary Lindley Murray,360007702433,362058002433
02M124,P.S. 124 Yung Wing,310200010124,P.S. 124 Yung Wing,360007702458,362058002458
02M126,P.S. 126 Jacob August Riis,310200010126,P.S. 126 Jacob August Riis,360007702468,362058002468
02M130,P.S. 130 Hernando De Soto,310200010130,P.S. 130 Hernando De Soto,360007702480,362058002480
02M131,M.S. 131,310200010131,M.S. 131,360007704402,362058004402
02M135,The Urban Assembly School for Emergency Management,310200011135,The Urban Assembly School for Emergency Management,360007706372,362058099874
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,310200011139,Stephen T. Mather Building Arts & Craftsmanship Hi,360007706373,362058099873
02M150,P.S. 150,310200010150,P.S. 150,360007702540,362058002540
02M151,Yorkville Community School,310200010151,Yorkville Community School,360007706166,362058006166
02M158,P.S. 158 Bayard Taylor,310200010158,P.S. 158 Bayard Taylor,360007702569,362058002569
02M167,J.H.S. 167 Robert F. Wagner,310200010167,J.H.S. 167 Robert F. Wagner,360007702597,362058002597
02M183,P.S. 183 Robert L. Stevenson,310200010183,P.S. 183 Robert L. Stevenson,360007702635,362058002635
02M198,P.S. 198 Isador E. Ida Straus,310200010198,P.S. 198 Isador E. Ida Straus,360007702675,362058002675
02M212,P.S. 212 Midtown West,310200010212,P.S. 212 Midtown West,360007704407,362058004407
02M217,P.S./I.S. 217 Roosevelt Island,310200010217,P.S./I.S. 217 Roosevelt Island,360007704406,362058004406
02M225,Ella Baker School,310200011225,Ella Baker School,360007703348,362058003348
02M234,P.S. 234 Independence School,310200010234,P.S. 234 Independence School,360007704356,362058004356
02M255,M.S. 255 Salk School of Science,310200010255,M.S. 255 Salk School of Science,360007704408,362058004408
02M260,M.S. 260 Clinton School Writers & Artists,310200010260,M.S. 260 Clinton School Writers & Artists,360007704410,362058004410
02M267,"East Side Elementary School, PS 267",310200010267,"East Side Elementary School, PS 267",360007706210,362058006210
02M276,BATTERY PARK CITY SCHOOL,310200010276,BATTERY PARK CITY SCHOOL,360007706158,362058006158
02M281,The River School,310200010281,The River School,360007706371,362058099875
02M288,Food and Finance High School,310200011288,Food and Finance High School,360007705622,362058005622
02M289,I.S. 289,310200010289,I.S. 289,360007703331,362058003331
02M290,P.S. 290 Manhattan New School,310200010290,P.S. 290 Manhattan New School,360007701219,362058001219
02M294,Essex Street Academy,310200011294,Essex Street Academy,360007705623,362058005623
02M296,High School of Hospitality Management,310200011296,High School of Hospitality Management,360007705624,362058005624
02M298,Pace High School,310200011298,Pace High School,360007705625,362058005625
02M300,"Urban Assembly School of Design and Construction, The",310200011300,"Urban Assembly School of Design and Construction,",360007705626,362058005626
02M303,"Facing History School, The",310200011303,"Facing History School, The",360007705769,362058005769
02M305,"Urban Assembly Academy of Government and Law, The",310200011305,"Urban Assembly Academy of Government and Law, The",360007705770,362058005770
02M308,Lower Manhattan Arts Academy,310200011308,Lower Manhattan Arts Academy,360007705771,362058005771
02M312,New York City Lab Middle School for Collaborative Studies,310200010312,New York City Lab Middle School for Collaborative,360007705539,362058005539
02M313,"James Baldwin School, The: A School for Expeditionary Learning",310200011313,"James Baldwin School, The: A School for Expedition",360007705772,362058005772
02M316,"Urban Assembly School of Business for Young Women, the",310200011316,"Urban Assembly School of Business for Young Women,",360007705764,362058005764
02M343,The Peck Slip School,310200010343,The Peck Slip School,360007706334,362058099878
02M347,The 47 American Sign Language & English Lower School,310200010347,The 47 American Sign Language & English Lower Scho,360007705767,362058005767
02M374,Gramercy Arts High School,310200011374,Gramercy Arts High School,360007706077,362058006077
02M376,NYC iSchool,310200011376,NYC iSchool,360007706065,362058006065
02M392,MANHATTAN BUSINESS ACADEMY,310200011392,MANHATTAN BUSINESS ACADEMY,360007706108,362058006108
02M393,BUSINESS OF SPORTS SCHOOL,310200011393,BUSINESS OF SPORTS SCHOOL,360007706126,362058006126
02M394,EMMA LAZARUS HIGH SCHOOL,310200011394,EMMA LAZARUS HIGH SCHOOL,360007706169,362058006169
02M397,SPRUCE STREET SCHOOL,310200010397,SPRUCE STREET SCHOOL,360007706130,362058006130
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,310200011399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,360007706105,362058006105
02M400,High School for Environmental Studies,310200011400,High School for Environmental Studies,360007700116,362058000116
02M407,Institute for Collaborative Education,310200011407,Institute for Collaborative Education,360007701720,362058001720
02M408,Professional Performing Arts High School,310200011408,Professional Performing Arts High School,360007701723,362058001723
02M411,Baruch College Campus High School,310200011411,Baruch College Campus High School,360007702856,362058002856
02M412,N.Y.C. Lab School for Collaborative Studies,310200010412,N.Y.C. Lab School for Collaborative Studies,360007702857,362058002857
02M413,School of the Future High School,310200010413,School of the Future High School,360007702862,362058002862
02M414,N.Y.C. Museum School,310200010414,N.Y.C. Museum School,360007702871,362058002871
02M416,Eleanor Roosevelt High School,310200010416,Eleanor Roosevelt High School,360007705084,362058005084
02M418,Millennium High School,310200010418,Millennium High School,360007705085,362058005085
02M419,Landmark High School,310200011419,Landmark High School,360007700582,362058000582
02M420,High School for Health Professions and Human Services,310200011420,High School for Health Professions and Human Servi,360007700691,362058000691
02M422,Quest to Learn,310200011422,Quest to Learn,360007706125,362058006125
02M425,Leadership and Public Service High School,310200011425,Leadership and Public Service High School,360007700692,362058000692
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,310200011427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,360007706178,362058006178
02M429,Legacy School for Integrated Studies,310200011429,Legacy School for Integrated Studies,360007700583,362058000583
02M432,Murray Hill Academy,310200011432,Murray Hill Academy,360007706207,362058006207
02M437,Hudson High School of Learning Technologies,310200011437,Hudson High School of Learning Technologies,360007706193,362058006193
02M438,International High School at Union Square,310200011438,International High School at Union Square,360007706191,362058006191
02M439,Manhattan Village Academy,310200011439,Manhattan Village Academy,360007700584,362058000584
02M442,"Ballet Tech, NYC Public School for Dance",310200011442,"Ballet Tech, NYC Public School for Dance",360007705112,362058005112
02M449,Vanguard High School,310200011449,Vanguard High School,360007700585,362058000585
